(0.38889, 0.62181, 0.44444),
(0.61111, 0.37819, 0.44444),
(0.5, 0.37819, 0.0),
(0.5, 0.62181, 0.0),
(0.5, 0.37819, 0.11111),
(0.5, 0.62181, 0.11111),
(0.5, 0.37819, 0.88889),
(0.5, 0.62181, 0.88889),
(0.5, 0.37819, 0.22222),
(0.5, 0.62181, 0.22222),
(0.5, 0.37819, 0.77778),
(0.5, 0.62181, 0.77778),
(0.5, 0.37819, 0.33333),
(0.5, 0.62181, 0.33333),
(0.5, 0.37819, 0.66667),
(0.5, 0.62181, 0.66667),
(0.5, 0.37819, 0.44444),
(0.5, 0.62181, 0.44444),
(0.5, 0.37819, 0.55556),
(0.5, 0.62181, 0.55556),
(0.0, 0.37693, 0.05556),
(0.0, 0.62307, 0.05556),
(0.0, 0.37693, 0.94444),
(0.0, 0.62307, 0.94444),
(0.0, 0.37693, 0.16667),
(0.0, 0.62307, 0.16667),
(0.0, 0.37693, 0.83333),
(0.0, 0.62307, 0.83333),
(0.0, 0.37693, 0.27778),
(0.0, 0.62307, 0.27778),
(0.0, 0.37693, 0.72222),
(0.0, 0.62307, 0.72222),
(0.0, 0.37693, 0.38889),
(0.0, 0.62307, 0.38889),
(0.0, 0.37693, 0.61111),
(0.0, 0.62307, 0.61111),
(0.0, 0.37693, 0.5),
(0.0, 0.62307, 0.5),
(0.11111, 0.37693, 0.05556),
(0.88889, 0.62307, 0.05556),
(0.88889, 0.37693, 0.94444),
(0.11111, 0.62307, 0.94444),
(0.88889, 0.62307, 0.94444),
(0.11111, 0.37693, 0.94444),
(0.11111, 0.62307, 0.05556),
(0.88889, 0.37693, 0.05556),
(0.11111, 0.37693, 0.16667),
(0.88889, 0.62307, 0.16667),
(0.88889, 0.37693, 0.83333),
(0.11111, 0.62307, 0.83333),
